time_board,marker
1730245509.8147628,3.0
1730245509.8189464,3.0
1730245509.8229604,3.0
1730245509.8279407,3.0
1730245509.8317635,3.0
1730245509.8359034,3.0
1730245509.8388147,3.0
1730245509.8439715,3.0
1730245509.8478167,3.0
1730245509.8508384,3.0
1730245509.8558428,3.0
1730245509.859831,3.0
1730245509.863909,3.0
1730245509.866953,3.0
1730245509.8708844,3.0
1730245509.8749883,3.0
1730245509.8788369,3.0
1730245509.8830516,3.0
1730245509.887862,3.0
1730245509.8919742,3.0
1730245509.8951042,3.0
1730245509.899106,3.0
1730245509.9039454,3.0
1730245509.908069,3.0
1730245509.9110904,3.0
1730245509.916083,3.0
1730245509.9190695,3.0
1730245509.9241056,3.0
1730245509.926988,3.0
1730245509.932078,3.0
1730245509.9350815,3.0
1730245509.9392312,3.0
1730245509.9441917,3.0
1730245509.9471128,3.0
1730245509.9501207,3.0
1730245509.955092,3.0
1730245509.9591324,3.0
1730245509.9630313,3.0
1730245509.967141,3.0
1730245509.9721427,3.0
1730245509.975146,3.0
1730245509.978006,3.0
1730245509.983218,3.0
1730245509.9871106,3.0
1730245509.9911752,3.0
1730245509.995242,3.0
1730245509.9992113,3.0
1730245510.003214,3.0
1730245510.006108,3.0
1730245510.0112588,3.0
1730245510.0152352,3.0
1730245510.0192468,3.0
1730245510.0232613,3.0
1730245510.0272412,3.0
1730245510.0312848,3.0
1730245510.0342295,3.0
1730245510.0380998,3.0
1730245510.043265,3.0
1730245510.0472991,3.0
1730245510.051284,3.0
1730245510.0541587,3.0
1730245510.0583389,3.0
1730245510.0621233,3.0
1730245510.0663433,3.0
1730245510.0711694,3.0
1730245510.0753536,3.0
1730245510.0792031,3.0
1730245510.0823524,3.0
1730245510.0862956,3.0
1730245510.0903072,3.0
1730245510.0962052,3.0
1730245510.0993016,3.0
1730245510.1033444,3.0
1730245510.1072044,3.0
1730245510.1103103,3.0
1730245510.114356,3.0
1730245510.1183648,3.0
1730245510.122377,3.0
1730245510.1263716,3.0
1730245510.131344,3.0
1730245510.134482,3.0
1730245510.1382449,3.0
1730245510.1424932,3.0
1730245510.1463008,3.0
1730245510.1504908,3.0
1730245510.154297,3.0
1730245510.159522,3.0
1730245510.1624002,3.0
1730245510.1665056,3.0
1730245510.1703873,3.0
1730245510.17443,3.0
1730245510.178444,3.0
1730245510.1835215,3.0
1730245510.187422,3.0
1730245510.1905572,3.0
1730245510.1945524,3.0
1730245510.1983745,3.0
1730245510.202376,3.0
1730245510.206381,3.0
1730245510.2103395,3.0
1730245510.2156246,3.0
1730245510.2186096,3.0
1730245510.2225184,3.0
1730245510.2265203,3.0
1730245510.230428,3.0
1730245510.2344508,3.0
1730245510.2384465,3.0
1730245510.2424858,3.0
1730245510.2464628,3.0
1730245510.2507024,3.0
1730245510.2544713,3.0
1730245510.258444,3.0
1730245510.2624836,3.0
1730245510.266678,3.0
1730245510.2696877,3.0
1730245510.273687,3.0
1730245510.2776415,3.0
1730245510.282637,3.0
1730245510.2866282,3.0
1730245510.2906027,3.0
1730245510.2947187,3.0
1730245510.297736,3.0
1730245510.3017237,3.0
1730245510.307595,3.0
1730245510.3106828,3.0
1730245510.3147173,3.0
1730245510.3187363,3.0
1730245510.3227615,3.0
1730245510.326676,3.0
1730245510.3296463,3.0
1730245510.3339028,3.0
1730245510.3378136,3.0
1730245510.3427868,3.0
1730245510.3467813,3.0
1730245510.349878,3.0
1730245510.3537505,3.0
1730245510.3578353,3.0
1730245510.3619633,3.0
1730245510.3658872,3.0
1730245510.3707187,3.0
1730245510.3746903,3.0
1730245510.3780365,3.0
1730245510.3817394,3.0
1730245510.3858535,3.0
1730245510.3919249,3.0
1730245510.3949287,3.0
1730245510.3989563,3.0
1730245510.403206,3.0
1730245510.4061224,3.0
1730245510.4098065,3.0
1730245510.41382,3.0
1730245510.4180288,3.0
1730245510.421765,3.0
1730245510.4268684,3.0
1730245510.431046,3.0
1730245510.433993,3.0
1730245510.4377987,3.0
1730245510.4419217,3.0
1730245510.445783,3.0
1730245510.4501295,3.0
1730245510.4548228,3.0
1730245510.4590209,3.0
1730245510.462166,3.0
1730245510.4660356,3.0
1730245510.4700933,3.0
1730245510.4739923,3.0
1730245510.478049,3.0
1730245510.4830236,3.0
1730245510.4859648,3.0
1730245510.4890437,3.0
1730245510.4940135,3.0
1730245510.4980135,3.0
1730245510.502096,3.0
1730245510.505917,3.0
1730245510.510034,3.0
1730245510.5140195,3.0
1730245510.5170176,3.0
1730245510.5220811,3.0
